PALAVRA,QTD_PALAVRA
OPTIMIZE,7
THEEQUATION,1
TIME1,1
558,1
1–1,3
ATMANY,1
PARAGRAPHS,1
AB-,1
STRACTION,1
INHERENT,6
POSSIBILITIES,1
AUTOMOBILES,5
HOMES,1
GEOMETRY,1
ECONOMY,2
CITY,6
GOVERNMENT,1
IDENTIFY,13
42CHAPTER,1
5615,1
TECHNICALLY,1
INCLINED,1
FRIEND,3
ASKED,6
EXPLAINHOW,1
ONE-PAGE,2
5710,1
LACK,4
HOWCOMPUTERS,1
PARTICULARLYUNFAMILIAR,1
PARAGRAPH,4
5815,2
ABSTRAC-TIONS,1
THIS:PERFORMANCE,1
CHARACTERISTICS:,2
TRANSFERRED,21
DISKLATENCY,1
POSITION,15
PROVIDES:,1
STATUS,26
READY,18
ETC,3
595,3
DEPTH:,50
COST1,5
6015,1
6110,1
625,3
6310,1
6410,1
COSTANSWERS,1
§1,3
10:,1
LOTS,2
ACCEPTABLE,3
27:,1
$2–4/GB,1
NANOSECONDS,2
$200–400/GB,1
33:,1
VALID,56
ITTHROUGHOUT,1
COMPELLING,1
OFFICE,2
AUTOMATION,1
ILLUSTRATE,10
DIVERSITY,6
PROBLEM,53
SOLVE:MAKE,1
FARMERS,1
RURAL,3
VILLAGES,2
MULTILIN-,1
GUAL,1
CHARACTER,17
UNICODE,12
SOLUTION:DEVELOP,2
FARMING,1
VILLAGE,2
TELEPHONE,5
VIL-,1
LAGERS,1
JHAI,6
CHALLENGE,18
HIN,1
HEUP,1
DISTRICT,1
LAOS,3
AMERICAN-LAO,1
FOUNDED,1
RAISE,5
LIVING,2
EXPORT,1
SCHOOLS,2
INSTALLED,1
WELLS,1
WEAVING,1
COOPERATIVE,2
WANTED,12
VILLAGERS,3
SAID,11
PRICES,1
CROPS,2
NEAREST,6
KILO-,1
AWAY,14
DECISIONS,18
GROW,13
BAR-,1
GAINING,1
TELEPHONY,1
RELATIVES,1
RUGGED,3
OFF-THE-SHELF,1
COMPO-,6
NENTS,4
DRAWS,1
NORMAL,23
USE—LESS,1
70,13
PRINTING—AND,1
SURVIVE,1
DIRT,2
IMMERSION,1
WATER,10
THEREBY,24
ELIMI-,2
NATING,2
MAINTAIN,6
POWER-HUNGRY,1
LIQUID-CRYSTAL,1
80486,4
MICROPROCESSOR,18
SUPPLIED,6
BATTERY,15
CHARGED,1
TURNING,4
BICYCLE,1
CRANK,1
DOT,2
COMPLETES,14
BRINGING,1
$400,2
ACCOUNTING,5
EMAIL,1
EXPATRIATES,1
TAILORING,1
LAO,1
ADAPT,3
WIFI,1
11B,1
BOOST,4
ANTENNAS,2
REPEATER,1
STATIONS,8
HILLTOPS,1
REPEATERS,1
SOLAR,1
CELLS,7
TWENTY-FIVE,1
VOLUN-,1
TEERS,1
ALTERNATIVE,38
ATTEMPT,16
SIMPUTER,3
INEXPENSIVE,8
MULTI-,17
LINGUAL,1
PALM,1
PILOT,1
COUNTRIES,3
SPEECH,2
RECOGNI-,1
AAA,1
BATTERIES,4
HOURS,20
$250,2
UNCLEAR,4
SPEND,6
PDA,1
LUXURY,1
WORLD-WIDE,2
ECONOMIST,2
SEPTEM-,1
ORG/ECONOMIST,1
ORG/,1
OCTOBER,8
2INSTRUCTIONS:,55
COMPUTERI,1
SPANISH,1
GOD,1
ITALIAN,1
FRENCH,3
MEN,1
GERMAN,1
MY,2
HORSE,1
KING,1
1337–1380,1
482,3
492,4
522,1
602,1
682,1
722,1
792,1
902,1
ADDRESSES,188
952,1
1062,1
1162,1
1212,2
1302,2
POINTERS,30
1342,1
1432,1
1452,1
1472,1
20EXERCISES,5
147THE,2
48CHAPTER,1
COMPUTER'S,1
VOCABULARY,2
TOP-DOWN,3
REFINE,2
STEP-BY-STEP,3
DOWNWARD,1
DESCENT,1
UNVEILING,1
INTEGER,79
FLOATING-POINT,190
OPERATES,20
DIVERSE,2
REALITY,13
REGIONAL,1
DIALECTS,2
SIMILARITY,4
GOAL:TO,1
MAKES,28
MAXIMIZING,1
TIME-HONORED;,1
QUOTE,4
BUY,2
1947:,1
FORMAL-LOGICAL,1
METHODS,28
ADEQUATE,3
EXECUTION,282
SE-,2
QUENCE,1
DECISIVE,1
CONSIDERATIONS,2
NATURE:SIMPLICITY,1
DEMANDED,2
CLARITY,1
BURKS,8
GOLDSTINE,8
VON,14
NEUMANN,13
1947,3
SIMPLICITY,19
CONSIDERATION,1
2000S,1
FOLLOWS,22
ADVICE,1
REPRE-,10
SENTED,5
PRIMITIVE,2
LANGUAGE;,1
1INTRODUCTION2,1
1INSTRUCTION,1
VOCABU-LARY,1
UNDERSTOOD,4
49BY,1
DISCOVER,5
SECRET,3
COMPUTING:THE,1
STORED-PROGRAM,12
EIGN,1
SKILLS,1
COMES,52
IMPACT,32
CONCLUDE,5
ATI,1
NOLOGIES,1
BROADCOM,1
CISCO,1
NEC,1
NINTENDO,1
SONY,2
INSTRUMENTS,1
TOSHIBA,1
GIVING,9
RATIONALE,3
STRUCTURES,45
TUTORIAL,6
WEAVES,1
EXPLANATIONS,1
PALATABLE,1
MIND,7
SUMMARIZING,5
REVEALED,22
HIGHLIGHTING,6
˜EVERY,1
NOTATIONADD,1
CINSTRUCTS,1
VARIABLES,55
SUM,107
RIGID,2
EINTO,1
VARIABLE,50
DELIBERATELY,1
VAGUE,2
IS;,1
WE’LL,22
SEQUENCE,95
VARIABLES:,2
C#,1
D#,1
E#,1
HARDWARE2,3
2STORED-PROGRAM,1
THEIDEA,1
CERTAINLY,8
PERFORMING,19
50CHAPTER,1
SHARP,1
#,152
COMMENTS,7
IGNORES,6
TERMINATE,3
OPERANDS,98
THREE:THE,1
REQUIRING,6
CONFORMS,1
PHILOSOPHY,1
SIMPLE:,3
COMPLICATED,9
SITUATION,18
1:,6
FAVORS,5
REGULARITY,10
GRAMS,14
COMPILING,15
ASSIGNMENT,20
SEGMENT,75
EVOLVED,4
LANGUAGE:A,1
C;D,1
E;THE,1
PER-FORMED,1
OPERAND,77
CSUB,1
EEXAMPLEANSWER,1
51FIGURE,1
DESCRIBED,54
REPRESENTATIONS,9
SYM-,2
BOLIC,1
STEP,135
MIPSA,2
G,62
H,55
J:F,1
J;WHAT,1
CALCULATES,6
SOME-,3
CREATES,14
TEMPORARY,40
T0:ADD,1
T0,4
SUBTRACT,62
IANDJBEFORE,1
IANDJ,1
CREATED,14
T1:ADD,1
T1,4
SUBTRACTS,2
COMPLETING,4
CODE:,5
SUB,54
H–I,3
LANGUAGECATEGORY,11
EXAMPLEMEANINGCOMMENTSARITHMETICADD,1
ADDA,1
CA=B+C,1
OPERANDSSUBTRACTSUBA,1
CA=B–C,1
OPERANDSFIGURE,1
1MIPS,2
UNVEILED,1
SUMMARIES,2
STRUC-,2
TURES,4
SECTION;,1
EXAMPLEANSWER,20
52CHAPTER,1
ELABORATION:TO,4
ORIGINALLY,8
ENVISIONED,1
RELYING,1
INTERPRETER,8
BYTECODES,10
EQUIVALENT,17
NATIVE,8
COMPILATION,10
JUST-IN-TIME,2
JIT,8
JITS,1
STARTUP,2
CONSEQUENCES,4
INTERPRET-,1
BYTECODE,5
RESTRICTED;,1
BRICKS,1
CONSTRUC-,2
TION:,1
PRIMITIVES,2
REGISTER,877
BITS;,6
FREQUENTLY,14
NAMEWORD,1
REGIS-,24
CONTINUING,5
STEPWISE,1
RESTRICTION,9
REASON,35
TECHNOLOGY:,1
3WORD,1
CORRESPONDS,22
53DESIGN,1
2:,4
CYCLE,318
FARTHER,2
GUIDELINES,3
ABSOLUTES;,1
OBSERVATIONS,3
CAUSES,27
SERIOUSLY,1
CRAVING,1
DESIGNER’S,2
DESIRE,8
FORMAT,63
DEMONSTRATES,5
PLAY,2
TION;,2
SHALL,6
EFFECTIVE,31
FORMANCE,12
CONVENTION,23
TWO-CHARACTER,1
DOLLAR,1
SIGN,96
$S0,75
$S1,218
CORRESPOND,18
$T0,172
$T1,102
COMPILER’S,3
JOB,6
ASSOCIATE,6
INSTANCE,9
J;THE,1
JARE,2
ASSIGNED,9
$S2,265
$S3,62
$S4,5
RESPECTIVELY,13
EXCEPT,32
ABOVE:,2
$S2#,4
$S4#,1
$T1#,14
54CHAPTER,1
STRUCTURES—ARRAYS,1
RECALL,16
DEPICTED,1
47,8
ARRAYS,63
INSTRUCTIONS;,7
SINGLE-DIMENSIONAL,2
ARRAY,79
ACTING,4
INDEX,76
MEMORY2,1
COPIES,29
TRA-,2
DITIONALLY,2
LOADED,22
TENTS,3
2MEMORY,2
SIM-PLIFICATION,1
ADDRESSING;,2
ACOMMAND,1
MOVES,9
DELIN-EATE,1
ADDRESSDATA,4
1101101000123,1
55COMPILING,1
AIS,4
$S2AS,1
LET'S,3
BASEADDRESS,1
A8;ALTHOUGH,2
A8TO,1
AD-,10
DRESS,8
REG-,19
ISTER,14
SELECT,47
LW$T0,4
8$S3,1
REG,84
A8,9
ADJUSTMENT,1
OPERATE,35
$T0WHICH,1
EQUALS,8
$S1:ADD$S1,1
OFFSET,65
BASEREGISTER,1
56CHAPTER,1
HARDWARESOFTWAREINTERFACEIN,1
ASSOCIATING,2
ALLOCATES,7
EXAM-,17
2;,5
MULTIPLES,6
REQUIRE-,2
ALIGNMENT,5
LEADS,17
TRANSFERS,43
DIVIDE,59
LEFTMOST,9
RIGHTMOST,12
ENDIAN,3
CAMP,1
A-43,1
OPTIONS,11
$S3MUST,1
4¥8,1
A8AND,1
A8/4,1
PITFALL,9
144,5
REQUIREMENT,8
ALIGNED,9
BOUNDARIESFIGURE,1
3ACTUAL,1
FOUR:,3
11011010004812,1
57THE,1
STORE;,2
LOAD:,4
SPECIFIED,34
OPERANDSMANY,1
OPERATION—FOR,1
INCRE-,4
MENTING,2
FACT,33
SPEC2000,21
STOREASSUME,1
$S2AND,1
STATE-,1
A12,4
OPER-,9
ANDS,3
$T0:LW,1
32$S3#,2
STORES,48
48,17
ANDREGISTER$S3,1
48$S3,1
58CHAPTER,1
STANT,5
CONSTANTS,30
ADDRCONSTANT4$S1#,1
ADD$S3,1
==,21
4ASSUMING,1
ADDRCONSTANT4,1
AVOIDS,2
ARITH-,6
METIC,6
QUICK,5
IMMEDIATEORADDI,1
ADDI$S3,1
4IMMEDIATE,1
3:,6
HARDWARESOFTWAREINTERFACEMANY,1
CONSEQUENTLY,10
TRIES,11
LOADS,64
MOVE,58
PUTTING,8
SPILLING,6
RELATING,1
INDEED,10
CASE;,1
INSTRUC-,76
ATING,6
ANDHAVE,1
THROUGHPUT,57
MEMORY––A,1
RARE,10
COMBINATION––MAKING,1
ACHIEVE,21
EFFICIENTLY,10
59FIGURE,1
COPY,49
BRANDS,2
ALTERNATIVES,8
PREDICTS,2
SLOW:,1
INERTIA,1
VIABLE,4
ELABORATION:ALTHOUGH,4
64-,3
STRAIGHT,1
OFFICIALLY,2
MIPS-32,14
MIPS-64,3
OPERANDSNAMEEXAMPLECOMMENTS32,5
REGISTERS$S0,2
230,8
WORDSMEMORY0,7
MEMORY4,9
MEMORY4294967292ACCESSED,8
HOLDS,44
SPILLED,12
EXAMPLEMEANINGCOMMENTSARITHMETICADDADD$S1,4
$S3THREE,19
OPERANDS;,38
REGISTERSSUBTRACTSUB$S1,2
REGISTERSADD,1
IMMEDIATEADDI,5
100$S1=$S2+100,1
CONSTANTSDATA,2
TRANSFERLOAD,5
WORDLW,6
100$S2$S1=MEMORY$S2+100,2
REGISTERSTORE,10
WORDSW,6
100$S2MEMORY$S2+100=$S1,2
MEMORYFIGURE,2
4MIPS,2
60CHAPTER,1
OFF-,2
THEINDEX,1
ALLOCATION,25
WON’T,5
NEGATIVE,66
REPRESENTS,22
TAUGHT,3
123,5
10=1111011,1
CALLEDDECIMAL,1
ATOM,1
POSED,3
DIGITS,44
ORBITS,1
VALUES,124
ALTERNATIVES:,2
FALSE,21
PLACING,21
$S0TO$S7MAP,1
ONTO,13
23,30
$T0TO,2
$T7MAP,1
$S0MEANS,1
$S1MEANS,1
$S2MEANS,1
$T0MEANS,1
$T1MEANS,1
4BINARY,1
COM-PONENTS,1
61TO,1
NUMERIC,2
LAYOUT,7
COUNTING,4
BITS—,1
STRINGS,14
TEDIUM,2
TRANSLATING,18
REFINEMENT,2
SYMBOLICALLY,3
$S2FIRST,1
DECIMAL,72
FIELDS,61
TELL,11
GIVES,27
RECEIVE,7
UNUSED,17
OP-,6
DECIMAL:,1
EXAMPLEANSWER017188032000000100011001001000000001000006,1
BITS5,31
BITS6,8
BITSMACHINE,1
REP-RESENTATION,1
COMMUNI-CATION,1
62CHAPTER,1
VERTS,2
HEXA-DECIMALBASE,1
TRIVIALLY,1
CONVERT,15
REPLACING,17
HEXADECIMAL,14
VICE,7
VERSA,7
BASES,3
CONFUSION,7
SUBSCRIPT,3
HEXADECI-,1
MAL,4
HEX,27
DEFAULT,10
0X,1
NNNN,1
HEXADECIMALBINARY,4
0HEX0000TWO4HEX0100TWO8HEX1000TWOCHEX1100TWO1HEX0001TWO5HEX0101TWO9HEX1001TWODHEX1101TWO2HEX0010TWO6HEX0110TWOAHEX1010TWOEHEX1110TWO3HEX0011TWO7HEX0111TWOBHEX1011TWOFHEX1111TWOFIGURE,1
HEXADECIMAL-BINARY,3
CONVERSION,7
BINARY-TO-HEXADECIMAL,1
BASE:,3
ECA8,1
6420,2
HEX0001,1
0101,7
0111,7
1001,9
1011,10
1111,71
TWOJUST,1
LOOKUP,10
WAY:,1
EXAMPLEANSWERECA8,1
HEX1110,1
1010,5
1000,34
0110,9
0100,10
0010,12
0000,133
TWOAND,5
DIRECTION,17
TOO:,1
TWO1357,1
9BDFHEX,1
63MIPS,1
DISCUSS:,1
MEANING,20
OP:BASIC,1
OPCODE,36
RS:THE,1
RT:,1
RD:,1
SHAMT:SHIFT,1
SHIFT,74
TERM;,1
ZERO,53
FUNCT:FUNCTION,1
SELECTS,12
VARIANT,3
OP,45
5-BIT,5
5OR,1
CONFLICT,17
PRINCIPLE:,2
4:,5
DEMANDS,10
COMPROMISES,2
COMPROMISE,5
FORMATS,22
R-TYPE,36
ORR-FORMAT,1
I-TYPE,4
ORI-FORMAT,1
I-FORMAT,2
OPRSRTRDSHAMTFUNCT6,1
BITSOPRSRTCONSTANTORADDRESS,1
BITS16,3
BITSOPCODE,1
DENOTES,3
64CHAPTER,1
REGION,4
±2,5
15OR,1
768,3
13OR,1
8192,1
RS,36
RT,41
HARDER,10
57:,1
INSTRUCTION:IN,1
SPECIFIES,27
DESTINA-,1
RECEIVES,2
COMPLICATE,7
PLEXITY,3
R-,1
NAMES;,1
WONDERING,4
DISTINGUISHED,3
THEFIRST,2
FIELD:EACH,1
KNOWS,10
TREAT,5
OPRSRTRDSHAMTFUNCTADDRESSADDR0REGREGREG032,1
TENN,2
SUBTRACTR0REGREGREG034,1
ADDIMMEDIATE,1
I8TENREGREGN,1
WORDI35,1
TENREGREGN,2
I43,1
6MIPS,1
ENCODING,26
SUBINSTRUCTIONS,1
FIELD;,5
FUNCT,16
DECIDE,17
OPERATION:,3
65TRANSLATING,1
EXECUTES,29
$T1HAS,2
$S2CORRE-,1
SPONDS,5
A300,5
A300;IS,1
1200$T1#,2
$T0#,2
CONVENIENCE,2
THELWINSTRUCTION,1
IDENTIFIED,9
FIELDOP,1
THEDESTINATION,1
TOSELECTA300,1
THEADDINSTRUCTION,2
OPAND,1
AREFOUND,1
AND$T0,1
EXAMPLEANSWEROPRSRTRDADDRESS/SHAMTFUNCT359,1
8120001,1
88803,1
2439,1
81200,1
66CHAPTER,1
SENTATIONS,1
SIMPLIFIES,13
MERIT,1
POSITIVE,46
SUPERFLUOUS,1
THESW,1
43,10
THISFINAL,1
BASE10,1
IN-STRUCTIONS,5
10001101001010000000,1
00000000001001001000010000000010000010101101001010000000,1
0000TODAY’S,1
PRINCIPLES:,1
CONCEPT;,2
INVENTION,5
LET,9
GENIE,1
BOTTLE,1
SPECIFICALLY,8
CONSEQUENCE,2
INHERIT,1
READY-MADE,1
COMPATIBLE,4
COMPATIBILITY,4
ALIGN,7
67ELABORATION:,1
REPRESENTING,17
INTEGERS,35
FAITH,1
–2,18
31AND,1
+231–,1
147,16
483,16
648,4
+2,2
647,5
–215TO,1
+215–,1
–32,2
767,2
TWO’S,44
COMPLEMENTNUMBERS,1
ENCODE,4
ADDI$T0,8
-1ORLW$T0,1
-4$S0,1
OPERANDSNAMEEXAMPLECOMMENTS32REGISTERS$S0,2
$S7$T0,3
$T7FAST,2
REGISTERS$S0–$S7,4
16–23,3
$T0–$T7,3
8–15,3
230MEMORYWORDSMEMORY0,1
EXAMPLEMEANINGCOMMENTSARITHMETICADDADD,5
$S3$S1,37
REGISTERSSUBTRACTSUB,1
REGISTERSDATATRANSFERLOAD,2
MEMORYMIPS,1
LANGUAGENAMEFORMAT,4
EXAMPLECOMMENTSADDR0181917032,3
SUBR0181917034,2
ADDII818,1
17100ADDI,1
LWI3518,2
17100LW,1
100$S2,12
SWI4318,2
17100SW,1
SIZE6,5
BITSALL,5
R-FORMATROPRS,2
RTRDSHAMTFUNCTARITHMETIC,2
I-FORMATIOPRS,2
FORMATFIGURE,3
7MIPS,1
SAME:,2
GIV-,1
OPERATION;,3
RSFIELD,1
SOURCES;,1
RTFIELD,1
R-FORMAT,19
DIVIDES,8
RDFIELD,1
SPECIFYING,10
REGISTER;,5
SHAMTFIELD,2
EXPLAINS;,1
FUNCTFIELD,1
KEEPS,10
68CHAPTER,1
CONCENTRATED,1
SOON,23
CHARACTERS,14
SIMPLIFY,16
PACKING,2
UNPACKING,1
LOGICAL,52
BLINK,1
AUTHOR,3
HAP-,2
PENS,2
TELLING,1
TREATING,2
CONVENIENT,11
OPERATIONS2,2
CODEPROCESSOR,1
CODEC,1
COMPILERMACHINE,1
CODEPAYROLL,1
CFOR,1
CONTRARIWISE,1
CONTINUED,5
TWEEDLEDEE,1
BE;,2
ISN’T,7
AIN’T,1
THAT’S,1
CARROLL,1
ALICE’S,1
ADVEN-,1
WONDERLAND,1
69THE,1
SHIFTS,10
FILLING,2
EMPTIED,1
0S,19
000000000000000000000000000000001001,1
TWO=,7
9TENAND,1
THIS:0000,1
00000000000000000000000010010000,1
144TENTHE,1
SLL,12
SRL,2
FOL-,8
LOWING,6
$T2:SLL$T2,1
4#,8
$T2,65
<<,8
EXPLAINING,3
SHIFTAMOUNTAND,1
SLLIS,1
RD,13
TAINS$S0,1
SHAMT,3
BONUS,2
SHIFTING,15
IBITS,1
MULTIPLYING,22
ICHAPTER,1
SLLSHIFTS,1
4OR,1
OPERATIONSC,1
OPERATORS,12
LEFT<<<<SLLSHIFT,1
RIGHT>>>>>SRLBIT-BY-BIT,1
AND&&AND,1
ANDI,7
BIT-BY-BIT,39
OR||OR,1
ORI,8
NOT~~NORFIGURE,1
OPRSRTRDSHAMTFUNCT00161040,1
70CHAPTER,1
ISOLATES,1
CAPITALIZE,1
LEAVES,7
00000000000000000000110100000000,1
00000000000000000011110000000000,1
TWOTHEN,1
$T2#,5
00000000000000000000110000000000,1
TWOAS,1
TRADITION-,1
CONCEALS,1
SEAS,1
ELABORATE,3
$T2ARE,1
UNCHANGED,8
PRECEDING,7
|,40
$T0:00000000000000000011110100000000,1
CONTRARIAN,1
DECIDED,6
NORNOT,1
NOR,20
$T1IS,1
$T3HAS,1
$T3#,1
~,6
$T3,47
OPER-ATION,2
INVERTS,3
REPLACES,16
NORA,2
71IS,1
$T0:11111111111111111100001111111111,1
TWOFIGURE,1
ANDIMMEDIATE,1
INVERT,2
OPERAND;,1
IMME-,2
DIATE,2
HIGHLIGHTS,3
230MEMORY,2
$S3$S1=$S2+$S3,1
OVERFLOW,106
DETECTED,15
SUBTRACTSUB$S1,1
$S3$S1=$S2–$S3,1
IMMEDIATEADDI$S1,1
100+,4
CONSTANT;,11
DETECTEDLOGICALAND,1
ANDOROR,6
ORNORNOR$S1,2
$S2|$S3,1
NORAND,7
IMMEDIATEANDI$S1,2
100BIT-BY-BIT,4
CONSTANTOR,7
IMMEDIATEORI$S1,2
CONSTANTSHIFT,14
LOGICALSLL$S1,2
10SHIFT,7
LOGICALSRL$$S1,2
>>,5
CONSTANTDATATRANSFERLOAD,1
WORDLW$S1,3
100$S2$S1,14
MEMORY$S2,18
100WORD,4
WORDSW$S1,3
$S1WORD,4
INDICATES,38
ENDPAPERS,2
72CHAPTER,1
DISTINGUISHES,3
CALCULATOR,3
PUTATION,1
DECISION,25
REP-,3
RESENTED,1
IFSTATEMENT,4
LABELS,25
DECISION-MAKING,4
BEQ,25
REGISTER1,2
REGISTER2,4
L1,28
LABELED,24
L1IF,2
REGISTER1EQUALS,1
MNEMONIC,2
BEQSTANDS,1
BRANCH,504
BNE,14
REGISTER1DOESNOTEQUALTHE,1
BNESTANDS,1
CONDITIONAL,43
BRANCHES,131
DECISIONS2,1
6COMPILINGIF-THEN-ELSE,1
BRANCHESIN,1
VARI-,1
ABLESF,1
JCORRESPOND,2
H;,1
H;FIGURE,1
FLOWCHART,1
EXPRES-,2
EQUALITY,13
SEEM,9
ERAL,7
EFFICIENT,12
OPPOSITE,7
CONDITION,39
IFTHE,2
LA-BELELSE,1
BELOW:,1
ELSE#,1
JTHE,1
UTILITY,1
LIES,3
POSSIBILITY,6
REPEATEDLY,7
ITERATED,1
DEPENDENT,18
ITERATION,19
PLETED,3
TRAINS,8
PRECEDED,3
ROUTINE,40
CHOICE,27
RECK-,1
ONED,1
POSES,1
ROUTINES,21
73NOTICE,1
RELIEVES,2
CALCULATING,11
ERANDS,1
ALLOCATED,13
INSTRUCTION:,9
SKIPPED,4
JWE,1
KIND,3
UNCONDITIONAL,16
SAYS,8
IN-,16
STRUCTION,8
JUMP,116
ABBREVIATED,4
LABEL,21
EXIT,14
EXIT#,2
ELSEPORTION,1
APPEND,1
ELSETOTHIS,1
EXITTHAT,1
IF-THEN-ELSE,4
ELSE:SUB,1
EXIT:FIGURE,1
11ILLUSTRATION,1
ANINSTRUCTION,2
COMPARISON,42
OUTCOME,11
F=G+HF=G–HI=JI,1
JI==JELSE:EXIT:,1
74CHAPTER,1
LOOPSDECISIONS,1
ALTERNATIVES—FOUND,1
IFSTATEMENTS—AND,1
ITERATING,1
COMPUTATION—FOUND,1
LOOPS,29
ASSEM-,3
BLY,5
HARDWARESOFTWAREINTERFACECOMPILERS,1
AVOIDING,6
BURDEN,5
EXPLICIT,12
CODING,9
LOOP,133
TRADITIONAL,12
C:,6
SAVEI,10
+=,8
1;ASSUME,1
AND$S5ANDTHE,1
SAVEIS,1
$S6,1
SAVEIINTO,1
LOADSAVEIINTO,1
BEFOREWE,1
ITO,3
SAVETO,1
MULTI-PLY,1
IBY,3
FORTUNATELY,3
CANUSE,1
MULTIPLIES,6
69,8
INSECTION,1
LOOPTO,1
LOOP:,2
LOOP:SLL,2
2#,9
*,40
$T1AND,2
SAVEIN$S6:ADD,1
$S6#,2
REGISTER:,10
0$T1#,5
75THE,1
INEQUALITY,1
FORLOOP,5
COMPARISONS,8
ACCOMPLISHED,5
SECOND;,2
OTHERWISE,23
ET,6
ORSLT,1
SLT,14
$S4MEANS,1
$T0IS,3
$S3IS,1
VALUEIN,1
$S4;OTHERWISE,1
$ZEROALWAYS,2
$S2IS,1
THANTHE,1
SLTI,5
<,65
10HEEDING,1
NEUMANN’S,1
WARNING,1
COMPLI-,1
CATED;,1
STRETCH,5
CYCLES,206
EXITING,4
SAVEIK:BNE,1
$S5,2
KTHE,1
1TO,2
I:ADD,1
1#,10
DONE:,1
LOOP#,2
LOOPEXIT:SEE,1
COMPIL-,2
BUZZWORD:,1
BLOCKIS,1
TARGETS,3
PHASES,4
BREAKING,6
HARDWARESOFTWARE,17
INTERFACEBASIC,1
BLOCKA,2
76CHAPTER,1
CASE/SWITCH,3
STATEMENTMOST,1
ORSWITCH,1
SIM-,12
PLEST,2
CHAIN,2
ENCODED,5
SITUATIONS,10
REGISTERINSTRUCTION,1
ENTRY,96
JUMPS,37
FIXES,2
PERMA-,1
NENTLY,1
ELABORATION:IF,2
WORRY:THE,1
HARDWARESOFTWAREINTERFACEMIPS,1
$ZERO,55
CONDITIONS:,1
EXPECT,15
MAPS,18
ALSOCALLED,3
INSTRUC-TION,10
HARDWARESOFTWAREINTERFACEALTHOUGH,2
BEDROCK,1
IMPLEMENTS,7
77CHECKYOURSELF,1
IMBALANCE,2
$T7,2
$ZEROFAST,1
$S0–$S7,3
REGISTERSDATA,1
100DATA,1
$S1DATA,2
MEMORYLOGICALANDAND$S1,1
$S3$S1=$S2&$S3,2
ANDOROR$S1,1
$S3$S1=$S2|$S3,2
$S3$S1=~$S2|$S3,2
100$S1=$S2&100,2
100$S1=$S2|100,2
10$S1=$S2<<10,2
10$S1=$S2>>10,2
CONSTANTCONDITIONALBRANCHBRANCH,2
EQUALBEQ$S1,1
LEQUAL,2
BRANCHBRANCH,9
EQUALBNE$S1,1
LNOT,2
BRANCHSET,2
THANSLT$S1,1
1;,27
ELSE$S1,10
0COMPARE,16
THAN;,9
BNESET,2
IMMEDIATESLT$S1,1
IMMEDIATE;,2
BNEUNCONDITIONALJUMPJUMPJLGO,1
LJUMP,2
TARGET,80
ADDRESSFIGURE,1
12MIPS,1
78CHAPTER,1
REDUCES,15
&&,6
||,4
BACKWARDS:,1
REDUNDANT,15
THING:,1
INHER-,3
ITED,2
SUBR018,1
1917034,1
100LW,1
100SW,1
ANDR018,1
1917036,1
AND$S1,2
ORR018,1
1917037,1
OR$S1,2
NORR018,1
1917039,1
NOR$S1,2
ANDII1218,1
100ANDI$S1,2
ORII1318,1
100ORI$S1,2
SLLR001817100,2
SLL$S1,2
SRLR001817102,2
SRL$S1,2
BEQI417,1
1825BEQ,1
BNEI517,1
1825BNE,1
SLTR018,1
1917042,1
JJ2,2
2500J,1
10000,5
9FIELD,1
13MIPS,1
J-FORMAT,3
FI,1
ELDS,1
79APROCEDURE,1
TOOL,2
REUSED,3
CONCENTRATE,4
PARAMETERS,35
BARRIER,5
SPY,4
ACQUIRES,1
TRACKS,15
RETURNS,21
ORIGIN,4
NOTHING,15
PERTURBED,1
CAN’T,6
ASSUMPTIONS,3
EMPLOYER,1
STEPS:,6
ACQUIRE,1
CALLING,12
POINTS,20
FASTEST,24
CALLING:,1
$A0–$A3:,1
ARGUMENT,29
$V0–$V1:,1
$RA:,1
PROCEDURES:,1
SAVES,16
$RA,19
JUMP-AND-LINKINSTRUCTION,2
JAL,8
7PROCEDURE,1
SUBROUTINE,6
80CHAPTER,1
JALPROCEDUREADDRESS,1
THELINKPORTION,1
IMPLICIT,6
PCIN,1
MIPSARCHITECTURE,1
SENSIBLE,1
JALINSTRUCTION,1
$RATO,1
JR$RA,8
$RA—WHICH,1
CALLER,18
PUTS,8
PARAMETER,15
VAL-UES,2
$A0–$A3AND,1
JALX,1
XSOMETIMES,1
THECALLEE,1
CALLEE,13
$V0–$V1,2
RESTORED,7
INVOKED,4
SPILL,1
58,8
IDEAL,9
STACK—A,1
LAST-IN-FIRST-OUTQUEUE,1
STACK,156
POINTER,93
ADJUSTED,8
SAVED,50
STACKS,4
BUZZWORDS,1
TRANSFERRING,18
STACK:PLACING,1
PUSH,10
REMOVING,4
POP,12
STACK:,3
$SP,29
PRECEDENT,1
MEANSTHAT,1
SUBTRACTING,10
SHRINKS,2
POPPING,3
PROCE-DURE,3
ADDRESS;,7
REGISTER$RA,1
THEREGISTER,2
PRO-GRAM,5
EXECUTEDCALLERTHE,1
INSTI-GATES,1
CALLEEA,2
SPILL-ING,1
LAST-IN-FIRST-OUT,2
QUEUE,11
DENOTING,3
81COMPILING,1
51,7
PROCEDURE:,4
LEAF_EXAMPLE,1
J{INT,1
F;F,1
J;RETURN,1
F;}WHAT,1
$A0,47
$A1,36
$A2,8
$A3,6
FCORRESPONDS,1
